Municipality   ,Population     ,Males     ,Females   ,0-4       ,5-9       ,10-14     ,15-19     ,20-24     ,25-29     ,30-34     ,35-39     ,40-44     ,45-49     ,50-54     ,55-59     ,60-64     ,65-69     ,70-74     ,75-79     ,80+       
11001          ,7980001        ,3861624   ,4118377   ,605449    ,600078    ,603336    ,637600    ,673222    ,640632    ,656790    ,628185    ,547958    ,518352    ,497879    ,423052    ,325516    ,241887    ,167928    ,107806    ,104331    
13001          ,1013389        ,490036    ,523353    ,81824     ,85455     ,89493     ,92636     ,89451     ,83864     ,80320     ,70456     ,60246     ,59094     ,58167     ,49727     ,37581     ,28089     ,19041     ,13600     ,14345     
13006          ,23451          ,11865     ,11586     ,2420      ,2352      ,2247      ,2213      ,2137      ,1933      ,1565      ,1413      ,1287      ,1275      ,1134      ,942       ,729       ,612       ,447       ,358       ,387       
13030          ,13946          ,7495      ,6451      ,1554      ,1426      ,1329      ,1289      ,1255      ,1160      ,896       ,747       ,677       ,754       ,697       ,570       ,439       ,368       ,275       ,238       ,272       
13042          ,19302          ,10194     ,9108      ,2488      ,2239      ,2130      ,2158      ,1834      ,1523      ,1102      ,991       ,945       ,977       ,728       ,624       ,468       ,394       ,213       ,243       ,245       
13052          ,73891          ,37436     ,36455     ,7437      ,7497      ,7461      ,7525      ,6976      ,5720      ,5112      ,4414      ,4022      ,3943      ,3674      ,2939      ,2295      ,1688      ,1248      ,933       ,1007      
13062          ,10038          ,5288      ,4750      ,1112      ,1078      ,1036      ,1049      ,915       ,795       ,653       ,565       ,523       ,522       ,444       ,368       ,288       ,209       ,170       ,141       ,170       
13074          ,18095          ,9693      ,8402      ,2479      ,2186      ,2014      ,1925      ,1834      ,1414      ,1030      ,950       ,848       ,798       ,721       ,545       ,418       ,333       ,211       ,181       ,208       
13140          ,23609          ,12434     ,11175     ,2618      ,2533      ,2442      ,2467      ,2155      ,1872      ,1534      ,1327      ,1231      ,1228      ,1046      ,863       ,677       ,490       ,399       ,329       ,398       
13160          ,9393           ,4805      ,4588      ,964       ,927       ,908       ,939       ,866       ,724       ,632       ,627       ,589       ,566       ,465       ,365       ,268       ,196       ,154       ,105       ,98        
13188          ,11124          ,5581      ,5543      ,1166      ,1139      ,1109      ,1098      ,1042      ,909       ,710       ,624       ,572       ,578       ,524       ,443       ,347       ,291       ,216       ,173       ,183       
13212          ,12389          ,6250      ,6139      ,1559      ,1406      ,1282      ,1319      ,1220      ,1053      ,809       ,631       ,582       ,545       ,458       ,393       ,336       ,256       ,201       ,161       ,178       
