ID_ESPACIA,AREA_OFICI,ENTIDAD_TE,NOM_DEPART,NOM_MUNICI,COD_DEPTO,R0
23189,644,Cabecera Municipal,CRDOBA,CINAGA DE ORO,23,1.685701398
23570,819,Cabecera Municipal,CRDOBA,PUEBLO NUEVO,23,1.999041768
23068,1929,Cabecera Municipal,CRDOBA,AYAPEL,23,2.517488407
23580,2062,Cabecera Municipal,CRDOBA,PUERTO LIBERTADOR,23,0.567878304
23686,470,Cabecera Municipal,CRDOBA,SAN PELAYO,23,1.17928522
70221,56,Cabecera Municipal,SUCRE,COVEAS,70,1.08743602
70523,174,Cabecera Municipal,SUCRE,PALMITO,70,1.419257522
70820,282,Cabecera Municipal,SUCRE,TOL,70,1.372219969
70713,1089,Cabecera Municipal,SUCRE,SAN ONOFRE,70,1.491172985
70473,168,Cabecera Municipal,SUCRE,MORROA,70,1.127378616
70418,211,Cabecera Municipal,SUCRE,LOS PALMITOS,70,1.249421805
70771,1130,Cabecera Municipal,SUCRE,SUCRE,70,2.453409425
70429,959,Cabecera Municipal,SUCRE,MAJAGUAL,70,1.912441283
13001,559,CAP. DEPTO Distrito Turstico y Cultural,BOLVAR,CARTAGENA DE INDIAS (Distrito Turstico y Cultural),13,1.256110468
13673,139,Cabecera Municipal,BOLVAR,SANTA CATALINA,13,1.37044572
13549,741,Cabecera Municipal,BOLVAR,PINILLOS,13,2.335152332
13074,416,Cabecera Municipal,BOLVAR,BARRANCO DE LOBA,13,1.524484409
13600,829,Cabecera Municipal,BOLVAR,RIOVIEJO,13,1.463692804
13473,1306,Cabecera Municipal,BOLVAR,MORALES,13,1.439141234
13688,2360,Cabecera Municipal,BOLVAR,SANTA ROSA DEL SUR,13,0.163821826
13160,870,Cabecera Municipal,BOLVAR,CANTAGALLO,13,0.817866619
13006,1025,Cabecera Municipal,BOLVAR,ACH,13,2.012598765
13030,304,Cabecera Municipal,BOLVAR,ALTOS DEL ROSARIO,13,1.899632735
13810,758,Cabecera Municipal,BOLVAR,TIQUISIO (Puerto Rico),13,0.880516781
8372,176,Cabecera Municipal,ATLANTICO,JUAN DE ACOSTA,8,1.661692783
8573,73,Cabecera Municipal,ATLANTICO,PUERTO COLOMBIA,8,1.488295227
8001,166,"CAP. DEPTO Distrito Especial, Industrial y Portuario",ATLANTICO,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,2.002755174
8685,67,Cabecera Municipal,ATLANTICO,SANTO TOMS,8,2.182121801
8520,94,Cabecera Municipal,ATLANTICO,PALMAR DE VARELA,8,2.032025874
8560,204,Cabecera Municipal,ATLANTICO,PONEDERA,8,2.274865222
8549,258,Cabecera Municipal,ATLANTICO,PIOJ,8,1.366772036
8832,176,Cabecera Municipal,ATLANTICO,TUBAR,8,1.206784887
91530,8394,Corregimiento Departamental,AMAZONAS,PUERTO ALEGRA (Cor. Departamental),91,1.352836592
91263,11074,Corregimiento Departamental,AMAZONAS,EL ENCANTO (Cor. Departamental),91,1.22103222
91536,13350,Corregimiento Departamental,AMAZONAS,PUERTO ARICA (Cor. Departamental),91,0.993242497
91798,8775,Corregimiento Departamental,AMAZONAS,TARAPAC (Cor. Departamental),91,1.000314704
91001,5829,CAP. DEPTO,AMAZONAS,LETICIA,91,0.930755605
91540,1475,Cabecera Municipal,AMAZONAS,PUERTO NARIO,91,0.693087128
91460,16564,Corregimiento Departamental,AMAZONAS,MIRIT-PARAN (Campoamor) (Cor. Departamental),91,1.17081315
91430,1443,Corregimiento Departamental,AMAZONAS,LA VICTORIA (Pacoa) (Cor. Departamental),91,0.97190226
91405,12461,Corregimiento Departamental,AMAZONAS,LA CHORRERA (Cor. Departamental),91,1.454265663
91669,14915,Corregimiento Departamental,AMAZONAS,SANTANDER (Araracuara) (Cor. Departamental),91,1.321108874
91407,15385,Corregimiento Departamental,AMAZONAS,LA PEDRERA (Cor. Departamental),91,0.708830817
95200,12914,Cabecera Municipal,GUAVIARE,MIRAFLORES,95,1.033378416
95025,10434,Cabecera Municipal,GUAVIARE,EL RETORNO,95,1.140810606
95015,16200,Cabecera Municipal,GUAVIARE,CALAMAR,95,1.152562849
95001,13912,CAP. DEPTO,GUAVIARE,SAN JOS DEL GUAVIARE,95,1.376674199
97666,6619,Cabecera Municipal,VAUPES,TARAIRA,97,0.951349683
97511,13910,Corregimiento Departamental,VAUPES,PACOA (Cor. Departamental),97,1.185628367
97161,6981,Cabecera Municipal,VAUPES,CARUR,97,0.966289356
97777,5435,Corregimiento Departamental,VAUPES,PAPUNAUA (Cor. Departamental),97,0.788193543
97001,16455,CAP. DEPTO,VAUPES,MIT,97,0.590300984
97889,4735,Corregimiento Departamental,VAUPES,YAVARAT (Cor. Departamental),97,0.639033673
94663,4501,Corregimiento Departamental,GUAINIA,MAPIRIPANA (Cor. Departamental),94,0.846533904
94343,10290,Corregimiento Departamental,GUAINIA,BARRANCO MINA (Cor. Departamental),94,0.738377113
94001,0,CAP. DEPTO,GUAINIA,INIRIDA,94,1.089579009
94886,2344,Corregimiento Departamental,GUAINIA,CACAHUAL (Cor. Departamental),94,1.488878055
94884,15922,Corregimiento Departamental,GUAINIA,PUERTO COLOMBIA (Cor. Departamental),94,0.64884585
94885,1167,Corregimiento Departamental,GUAINIA,LA GUADALUPE (Cor. Departamental),94,1.369100297
94888,8501,Corregimiento Departamental,GUAINIA,MORICHAL (Morichal Nuevo) (Cor. Departamental),94,0.896979443
94887,10285,Corregimiento Departamental,GUAINIA,PAN PAN (Campo Alegre) (Cor. Departamental),94,0.680330146
94883,3063,Corregimiento Departamental,GUAINIA,SAN FELIPE (Cor. Departamental),94,0.527670185
99624,2018,Cabecera Municipal,VICHADA,SANTA ROSALA,99,1.666949553
99524,20141,Cabecera Municipal,VICHADA,LA PRIMAVERA,99,2.269938676
99001,12409,CAP. DEPTO,VICHADA,PUERTO CARREO,99,2.949321247
99773,65674,Cabecera Municipal,VICHADA,CUMARIBO,99,1.466502818
50350,11231,Cabecera Municipal,META,LA MACARENA,50,0.805082557
50370,6307,Cabecera Municipal,META,URIBE,50,0.234498095
50330,1980,Cabecera Municipal,META,MESETAS,50,0.163753191
50683,1163,Cabecera Municipal,META,SAN JUAN DE ARAMA,50,0.473362458
50287,576,Cabecera Municipal,META,FUENTE DE ORO,50,0.801303689
50313,381,Cabecera Municipal,META,GRANADA,50,0.882363323
50689,6454,Cabecera Municipal,META,SAN MARTN,50,1.562083402
50223,1159,Cabecera Municipal,META,CUBARRAL,50,0.047640772
50150,503,Cabecera Municipal,META,CASTILLA LA NUEVA,50,0.628987059
50001,1328,CAP. DEPTO,META,VILLAVICENCIO,50,0.61929841
50226,580,Cabecera Municipal,META,CUMARAL,50,0.573720746
50110,668,Cabecera Municipal,META,BARRANCA DE UPA,50,0.897226212
50124,832,Cabecera Municipal,META,CABUYARO,50,1.089654319
50573,6239,Cabecera Municipal,META,PUERTO LPEZ,50,1.425556931
50680,814,Cabecera Municipal,META,SAN CARLOS DE GUAROA,50,0.932814962
50577,2061,Cabecera Municipal,META,PUERTO LLERAS,50,1.1611844
50590,3772,Cabecera Municipal,META,PUERTO RICO,50,1.477426759
50450,1298,Cabecera Municipal,META,PUERTO CONCORDIA,50,1.999090329
50325,11938,Cabecera Municipal,META,MAPIRIPN,50,1.722525516
50568,17536,Cabecera Municipal,META,PUERTO GAITN,50,1.504933968
50711,4749,Cabecera Municipal,META,VISTAHERMOSA,50,0.703692636
85440,803,Cabecera Municipal,CASANARE,VILLANUEVA,85,0.960974496
85300,408,Cabecera Municipal,CASANARE,SABANALARGA,85,0.526720666
85162,759,Cabecera Municipal,CASANARE,MONTERREY,85,0.613174831
85410,2391,Cabecera Municipal,CASANARE,TAURAMENA,85,0.959605457
85279,179,Cabecera Municipal,CASANARE,RECETOR,85,0.049339388
85010,1455,Cabecera Municipal,CASANARE,AGUAZUL,85,0.976627346
85001,2532,CAP. DEPTO,CASANARE,YOPAL,85,1.058302014
85225,1101,Cabecera Municipal,CASANARE,NUNCHA,85,1.096510356
85263,786,Cabecera Municipal,CASANARE,PORE,85,0.964562346
85430,2991,Cabecera Municipal,CASANARE,TRINIDAD,85,1.305971499
15223,1166,Cabecera Municipal,BOYAC,CUBAR,15,0.132217141
85325,3057,Cabecera Municipal,CASANARE,SAN LUIS DE PALENQUE,85,1.330192265
85139,3784,Cabecera Municipal,CASANARE,MAN,85,1.329094758
85230,4789,Cabecera Municipal,CASANARE,OROCU,85,1.499330933
81794,5542,Cabecera Municipal,ARAUCA,TAME,81,0.339449921
81736,907,Cabecera Municipal,ARAUCA,SARAVENA,81,0.207834408
81065,3060,Cabecera Municipal,ARAUCA,ARAUQUITA,81,0.460432555
81591,2313,Cabecera Municipal,ARAUCA,PUERTO RONDN,81,0.931822179
81001,5751,CAP. DEPTO,ARAUCA,ARAUCA,81,1.198185342
81220,5221,Cabecera Municipal,ARAUCA,CRAVO NORTE,81,1.591692195
44090,1744,Cabecera Municipal,LA GUAJIRA,DIBULLA,44,0.324278836
44001,3171,CAP. DEPTO,LA GUAJIRA,RIOHACHA,44,1.255789039
44650,1347,Cabecera Municipal,LA GUAJIRA,SAN JUAN DEL CESAR,44,0.658396147
44110,242,Cabecera Municipal,LA GUAJIRA,EL MOLINO,44,0.428470859
44874,270,Cabecera Municipal,LA GUAJIRA,VILLANUEVA,44,0.704664349
44855,249,Cabecera Municipal,LA GUAJIRA,URUMITA,44,0.370031165
44420,183,Cabecera Municipal,LA GUAJIRA,LA JAGUA DEL PILAR,44,0.887616376
44279,487,Cabecera Municipal,LA GUAJIRA,FONSECA,44,0.581982684
44078,793,Cabecera Municipal,LA GUAJIRA,BARRANCAS,44,0.796649151
44378,249,Cabecera Municipal,LA GUAJIRA,HATO NUEVO,44,0.611836418
44035,545,Cabecera Municipal,LA GUAJIRA,ALBANIA,44,1.404960691
44430,1789,Cabecera Municipal,LA GUAJIRA,MAICAO,44,1.725731915
44847,7904,Cabecera Municipal,LA GUAJIRA,URIBIA,44,1.777907763
44560,1643,Cabecera Municipal,LA GUAJIRA,MANAURE,44,1.623954172
47745,967,Cabecera Municipal,MAGDALENA,SITIONUEVO,47,1.595158388
47570,691,Cabecera Municipal,MAGDALENA,PUEBLOVIEJO,47,1.022390688
47189,1366,Cabecera Municipal,MAGDALENA,CINAGA,47,0.222419338
47001,2369,"CAP. DEPTO Distrito Turstico, Cultural e Histrico",MAGDALENA,SANTA MARTA (Distrito Turstico Cultural e Histrico),47,0.184357826
47288,922,Cabecera Municipal,MAGDALENA,FUNDACIN,47,0.437440416
47030,409,Cabecera Municipal,MAGDALENA,ALGARROBO,47,1.735565029
47660,1196,Cabecera Municipal,MAGDALENA,SABANAS DE SAN NGEL (San ngel),47,1.88439831
47268,268,Cabecera Municipal,MAGDALENA,EL RETN,47,1.48571179
47551,1636,Cabecera Municipal,MAGDALENA,PIVIJAY,47,1.711732523
47053,1755,Cabecera Municipal,MAGDALENA,ARACATACA,47,0.225941959
20621,1351,Cabecera Municipal,CESAR,LA PAZ,20,1.050458697
20443,144,Cabecera Municipal,CESAR,MANAURE BALCN DEL CESAR,20,0.131728749
20013,1739,Cabecera Municipal,CESAR,AGUSTN CODAZZI,20,1.479900496
20238,985,Cabecera Municipal,CESAR,EL COPEY,20,1.018664367
20045,1206,Cabecera Municipal,CESAR,BECERRIL,20,1.322556926
20400,752,Cabecera Municipal,CESAR,LA JAGUA DE IBIRICO,20,1.791228229
20178,1015,Cabecera Municipal,CESAR,CHIRIGUAN,20,2.361094014
20228,914,Cabecera Municipal,CESAR,CURUMAN,20,1.422430377
20310,76,Cabecera Municipal,CESAR,GONZLEZ,20,0.033130707
