"id","dept","muni","mpios"
"2","LA GUAJIRA","URIBIA","44847"
"5","LA GUAJIRA","MANAURE","44560"
"6","LA GUAJIRA","MAICAO","44430"
"7","LA GUAJIRA","RIOHACHA","44001"
"8","LA GUAJIRA","DIBULLA","44090"
"9","MAGDALENA","SANTA MARTA","47001"
"10","LA GUAJIRA","HATONUEVO","44378"
"11","LA GUAJIRA","BARRANCAS","44078"
"12","MAGDALENA","CIENAGA","47189"
"13","ATLANTICO","BARRANQUILLA","08001"
"14","MAGDALENA","SITIONUEVO","47745"
"15","ATLANTICO","PUERTO COLOMBIA","08573"
"16","LA GUAJIRA","DISTRACCION","44098"
"17","LA GUAJIRA","FONSECA","44279"
"18","LA GUAJIRA","SAN JUAN DEL CESAR","44650"
"19","MAGDALENA","PUEBLOVIEJO","47570"
"20","ATLANTICO","TUBARA","08832"
"21","ATLANTICO","GALAPA","08296"
"22","ATLANTICO","SOLEDAD","08758"
"23","ATLANTICO","MALAMBO","08433"
"24","ATLANTICO","JUAN DE ACOSTA","08372"
"25","CESAR","VALLEDUPAR","20001"
"26","MAGDALENA","ARACATACA","47053"
"27","ATLANTICO","BARANOA","08078"
"28","ATLANTICO","SABANAGRANDE","08634"
"29","ATLANTICO","POLONUEVO","08558"
"30","ATLANTICO","PIOJO","08549"
"31","ATLANTICO","USIACURI","08849"
"32","BOLIVAR","SANTA CATALINA","13673"
"33","ATLANTICO","SANTO TOMAS","08685"
"34","ATLANTICO","PALMAR DE VARELA","08520"
"35","MAGDALENA","EL RETEN","47268"
"36","MAGDALENA","REMOLINO","47605"
"37","ATLANTICO","SABANALARGA","08638"
"38","ATLANTICO","PONEDERA","08560"
"39","ATLANTICO","LURUACO","08421"
"40","BOLIVAR","CARTAGENA","13001"
"41","CESAR","PUEBLO BELLO","20570"
"42","MAGDALENA","PIVIJAY","47551"
"43","LA GUAJIRA","VILLANUEVA","44874"
"44","LA GUAJIRA","EL MOLINO","44110"
"45","MAGDALENA","FUNDACION","47288"
"46","BOLIVAR","CLEMENCIA","13222"
"47","ATLANTICO","REPELON","08606"
"48","MAGDALENA","SALAMINA","47675"
"49","ATLANTICO","CANDELARIA","08141"
"50","LA GUAJIRA","URUMITA","44855"
"51","ATLANTICO","MANATI","08436"
"52","BOLIVAR","SANTA ROSA","13683"
"53","BOLIVAR","VILLANUEVA","13873"
"54","MAGDALENA","EL PION","47258"
"55","ATLANTICO","CAMPO DE LA CRUZ","08137"
"56","CESAR","LA PAZ","20621"
"57","BOLIVAR","SAN ESTANISLAO","13647"
"58","CESAR","MANAURE","20443"
"59","BOLIVAR","SOPLAVIENTO","13760"
"60","BOLIVAR","SAN CRISTOBAL","13620"
"61","BOLIVAR","TURBACO","13836"
"62","CESAR","EL COPEY","20238"
"63","ATLANTICO","SANTA LUCIA","08675"
"64","MAGDALENA","CERRO SAN ANTONIO","47161"
"65","BOLIVAR","CALAMAR","13140"
"66","CESAR","SAN DIEGO","20750"
"67","ATLANTICO","SUAN","08770"
"68","BOLIVAR","ARJONA","13052"
"69","BOLIVAR","MAHATES","13433"
"70","BOLIVAR","TURBANA","13838"
"71","MAGDALENA","PEDRAZA","47541"
"72","MAGDALENA","CHIVOLO","47170"
"73","CESAR","AGUSTIN CODAZZI","20013"
"74","BOLIVAR","EL GUAMO","13248"
"75","SUCRE","SAN ONOFRE","70713"
"76","BOLIVAR","SAN JUAN NEPOMUCENO","13657"
"77","BOLIVAR","MARIA LA BAJA","13442"
"78","CESAR","BOSCONIA","20060"
"79","MAGDALENA","TENERIFE","47798"
"80","MAGDALENA","PLATO","47555"
"81","MAGDALENA","ARIGUAINI","47058"
"82","CESAR","BECERRIL","20045"
"83","BOLIVAR","SAN JACINTO","13654"
"84","BOLIVAR","EL CARMEN DE BOLIVAR","13244"
"85","CESAR","EL PASO","20250"
"86","BOLIVAR","ZAMBRANO","13894"
"87","MAGDALENA","SANTA ANA","47707"
"88","MAGDALENA","PIJIO DEL CARMEN","47545"
"89","SUCRE","OVEJAS","70508"
"90","CESAR","LA JAGUA DE IBIRICO","20400"
"91","SUCRE","CHALAN","70230"
"92","BOLIVAR","CORDOBA","13212"
"93","SUCRE","TOLUVIEJO","70823"
"94","SUCRE","COLOSO","70204"
"95","CESAR","CHIRIGUANA","20178"
"96","CESAR","ASTREA","20032"
"97","SUCRE","SAN PEDRO","70717"
"98","CESAR","CHIMICHAGUA","20175"
"99","SUCRE","LOS PALMITOS","70418"
"100","SUCRE","MORROA","70473"
"101","MAGDALENA","SAN SEBASTIAN DE BUENAVISTA","47692"
"102","MAGDALENA","SAN ZENON","47703"
"103","BOLIVAR","MAGANGUE","13430"
"104","SUCRE","BUENAVISTA","70110"
"105","CORDOBA","SAN ANTERO","23672"
"106","CORDOBA","SAN BERNARDO DEL VIENTO","23675"
"107","SUCRE","SINCELEJO","70001"
"108","BOLIVAR","TALAIGUA NUEVO","13780"
"109","SUCRE","SINCE","70742"
"110","SUCRE","PALMITO","70523"
"111","SUCRE","SAN JUAN DE BETULIA","70702"
"112","CESAR","CURUMANI","20228"
"113","MAGDALENA","GUAMAL","47318"
"114","SUCRE","COROZAL","70215"
"115","MAGDALENA","EL BANCO","47245"
"116","CORDOBA","MOITOS","23500"
"117","CORDOBA","LORICA","23417"
"118","CORDOBA","PURISIMA","23586"
"119","CORDOBA","MOMIL","23464"
"120","BOLIVAR","MOMPOS","13468"
"121","BOLIVAR","CICUCO","13188"
"122","NORTE DE SANTANDER","EL CARMEN","54245"
"123","CORDOBA","SAN ANDRES DE SOTAVENTO","23670"
"124","NORTE DE SANTANDER","CONVENCION","54206"
"125","BOLIVAR","SAN FERNANDO","13650"
