NOM_DEPART,COD_DEPTO,Aedes_pop_01,Aedes_pop_02,Aedes_pop_03,Aedes_pop_04,Aedes_pop_05,Aedes_pop_06,Aedes_pop_07,Aedes_pop_08,Aedes_pop_09,Aedes_pop_10,Aedes_pop_11,Aedes_pop_12
CASANARE,85,0.009971596,0.011621606,0.04030461,0.072880419,0.095433768,0.104386285,0.099615512,0.088597355,0.080350493,0.07598896,0.054369295,0.011989162
ARAUCA,81,0.007547799,0.010723437,0.019103908,0.055264241,0.076059749,0.092366466,0.083784151,0.075273521,0.06658437,0.062443426,0.044399453,0.019114734
VALLE DEL CAUCA,76,0.053027307,0.065815462,0.074508821,0.078676797,0.07131092,0.062340378,0.029884304,0.056027991,0.068292479,0.068853487,0.062959877,0.062329015
TOLIMA,73,0.038172053,0.05063193,0.057149709,0.074956387,0.073375617,0.052660332,0.029803162,0.043805124,0.051049813,0.069029895,0.065124567,0.047273523
GUAINIA,94,0.023531356,0.033649123,0.033055285,0.058845675,0.080548267,0.089317442,0.090199745,0.07549726,0.063084717,0.051853452,0.048782295,0.036555364
AMAZONAS,91,0.061362262,0.061299609,0.068375869,0.067323918,0.072804597,0.068905886,0.054835367,0.051281511,0.052051852,0.058613779,0.058162249,0.059863628
PUTUMAYO,86,0.026186889,0.026995689,0.035777356,0.039300439,0.039943499,0.04104653,0.037106475,0.029459378,0.030656742,0.033769195,0.032381843,0.028884043
NN,999,0.002125957,0.002062871,0.001894829,0.00226221,0.00223137,0.002520788,0.002156579,0.002312538,0.002363106,0.00207509,0.002049561,0.002031154
VICHADA,99,0.010481552,0.018119088,0.050224101,0.080650587,0.097154959,0.120839766,0.116926686,0.105104576,0.087351922,0.067572885,0.054905375,0.024288558
VAUPES,97,0.028913992,0.030729346,0.039151491,0.050637753,0.0664093,0.062617336,0.070217139,0.057693425,0.048503995,0.053903299,0.041673882,0.037903626
GUAVIARE,95,0.014510684,0.073763338,0.071415815,0.067058207,0.084576939,0.093146375,0.103946313,0.09124758,0.070109543,0.071345186,0.066314114,0.034759395
